日期,标签,代码,名称,现价,涨跌幅%,成交金额(万),净买入额(万)
2026-01-26,3日,000426,兴业银锡,63.67,10.0,264800.0,15100.0
2026-01-26,,000426,兴业银锡,63.67,10.0,114400.0,-9642.77
2026-01-26,,000547,航天发展,26.48,-9.99,113000.0,-38300.0
2026-01-26,3日,000593,德龙汇能,17.71,10.0,43300.0,8723.37
2026-01-26,,000630,铜陵有色,7.55,10.06,201300.0,-30700.0
2026-01-26,3日,000630,铜陵有色,7.55,10.06,332300.0,-13700.0
2026-01-26,,000657,中钨高新,49.47,10.01,186900.0,30000.0
2026-01-26,,000700,模塑科技,13.54,-9.97,31400.0,-8381.45
2026-01-26,3日,000751,锌业股份,6.29,9.96,82100.0,1174.28
2026-01-26,3日,001337,四川黄金,55.25,9.99,122700.0,-19800.0
2026-01-26,,001400,江顺科技,109.41,-10.0,19300.0,-3267.55
2026-01-26,,002112,三变科技,22.98,-4.09,72600.0,-16600.0
2026-01-26,3日,002149,西部材料,43.55,-0.02,121700.0,-41400.0
2026-01-26,3日,002201,九鼎新材,16.28,10.0,137800.0,8015.13
2026-01-26,,002201,九鼎新材,16.28,10.0,75900.0,-5719.98
2026-01-26,,002342,巨力索具,13.71,1.26,117500.0,4650.99
2026-01-26,,002361,神剑股份,11.21,-10.03,21500.0,113.22
2026-01-26,,002465,海格通信,17.61,-10.02,182400.0,-28900.0
2026-01-26,,002471,中超控股,7.96,-7.01,102300.0,-5296.74
2026-01-26,3日,002592,ST八菱,11.25,3.02,12600.0,-67.68
2026-01-26,3日,002623,亚玛顿,22.78,9.99,51600.0,2967.99
2026-01-26,3日,002667,威领股份,19.36,10.0,18100.0,5666.47
2026-01-26,,002679,福建金森,13.4,1.9,14000.0,-3019.88
2026-01-26,,002716,湖南白银,18.08,9.98,102200.0,-28100.0
2026-01-26,3日,002716,湖南白银,18.08,9.98,325600.0,-67200.0
2026-01-26,3日,002792,通宇通讯,55.25,5.9,341100.0,-12300.0
2026-01-26,,002792,通宇通讯,55.25,5.9,200600.0,-15000.0
2026-01-26,,002809,红墙股份,14.2,7.17,13500.0,-1971.35
2026-01-26,3日,002865,钧达股份,107.4,8.01,227800.0,-3955.56
2026-01-26,3日,002943,宇晶股份,70.0,5.57,124100.0,3802.95
2026-01-26,3日,003042,中农联合,21.0,10.01,30600.0,-1817.26
2026-01-26,,300017,网宿科技,13.78,20.04,183800.0,61400.0
2026-01-26,3日,300102,乾照光电,42.52,8.55,419000.0,32400.0
2026-01-26,,300118,东方日升,22.52,8.48,219700.0,1314.38
2026-01-26,3日,300118,东方日升,22.52,8.48,259800.0,2913.6
2026-01-26,,300139,晓程科技,52.9,20.01,63300.0,15500.0
2026-01-26,,300164,通源石油,8.93,13.04,48500.0,-8420.59
2026-01-26,3日,300461,田中精机,32.32,18.3,52300.0,11900.0
2026-01-26,,300463,迈克生物,14.2,20.03,30000.0,2035.8
2026-01-26,3日,300751,迈为股份,342.11,5.47,518900.0,86800.0
2026-01-26,,300780,德恩精工,30.02,-4.15,37800.0,3774.58
2026-01-26,,300871,回盛生物,32.62,20.02,25300.0,11500.0
2026-01-26,,300921,南凌科技,28.33,12.02,34700.0,10300.0
2026-01-26,,301207,华兰疫苗,23.34,20.0,26200.0,11100.0
2026-01-26,,301636,泽润新能,71.83,19.8,27700.0,11400.0
2026-01-26,3日,301636,泽润新能,71.83,19.8,32700.0,15200.0
2026-01-26,,600343,航天动力,32.47,-10.01,43300.0,-5335.64
2026-01-26,3日,600531,豫光金铅,18.63,9.98,73300.0,12000.0
2026-01-26,,600686,金龙汽车,19.06,-10.01,11700.0,-1729.37
2026-01-26,,600868,梅雁吉祥,5.18,4.86,78500.0,-7728.99
2026-01-26,3日,601615,明阳智能,23.82,10.02,48300.0,-9084.59
2026-01-26,,601698,中国卫通,38.23,-10.01,56900.0,-1139.92
2026-01-26,,603037,凯众股份,17.97,-10.02,11800.0,1900.95
2026-01-26,,603078,江化微,29.4,-6.25,88700.0,-22400.0
2026-01-26,,603132,金徽股份,18.33,10.02,11600.0,3858.34
2026-01-26,,603698,航天工程,33.9,-10.01,25400.0,-4860.12
2026-01-26,,688028,沃尔德,100.18,15.19,43800.0,21700.0
2026-01-26,,688317,之江生物,25.55,20.01,17300.0,10400.0
2026-01-26,3日,688323,瑞华泰,31.09,19.99,26200.0,9917.77
2026-01-26,,688387,信科移动,17.9,-18.15,136600.0,-22900.0
2026-01-26,3日,688668,鼎通科技,151.88,6.96,211000.0,112700.0
2026-01-26,,688670,金迪克,25.28,19.98,6659.71,1233.09
2026-01-26,3日,688726,拉普拉斯,57.01,2.65,134700.0,-3069.27
2026-01-26,,920009,丹娜生物,88.95,10.94,4451.46,-735.25
2026-01-26,,920076,国亮新材,28.59,-3.41,7078.57,-831.14
2026-01-26,3日,920368,连城数控,50.31,6.68,57900.0,-5224.07
2026-01-26,,920427,华维设计,16.15,-28.22,12400.0,-7030.39
2026-01-27,,000506,招金黄金,23.57,9.99,82500.0,16800.0
2026-01-27,3日,000506,招金黄金,23.57,9.99,122000.0,36100.0
2026-01-27,,000592,平潭发展,10.68,9.99,120700.0,93100.0
2026-01-27,,000688,国城矿业,29.68,-8.2,52600.0,-8811.75
2026-01-27,,000987,越秀资本,10.73,-8.21,61000.0,-24400.0
2026-01-27,,001280,中国铀业,91.4,-7.57,159200.0,-43800.0
2026-01-27,,001337,四川黄金,60.78,10.01,72000.0,-6050.31
2026-01-27,3日,002009,天奇股份,28.72,10.0,58600.0,-6215.94
2026-01-27,,002009,天奇股份,28.72,10.0,57700.0,-5290.34
2026-01-27,,002112,三变科技,22.2,-3.39,45300.0,-4772.88
2026-01-27,3日,002155,湖南黄金,27.8,10.01,21000.0,5085.6
2026-01-27,,002165,红宝丽,10.21,-6.33,63700.0,-25200.0
2026-01-27,,002185,华天科技,14.66,9.98,235400.0,61400.0
2026-01-27,,002279,久其软件,10.82,7.13,62300.0,-225.2
2026-01-27,,002471,中超控股,8.49,6.66,105200.0,3307.05
2026-01-27,,002498,汉缆股份,5.66,-8.27,46100.0,-13700.0
2026-01-27,,002506,协鑫集成,3.69,6.96,162300.0,3470.8
2026-01-27,3日,002524,光正眼科,5.56,10.1,26000.0,-3345.34
2026-01-27,,002524,光正眼科,5.56,10.1,22000.0,-3163.72
2026-01-27,,002623,亚玛顿,23.5,3.16,32500.0,-1378.14
2026-01-27,,002772,众兴菌业,16.17,2.8,16000.0,2709.87
2026-01-27,3日,002842,翔鹭钨业,26.22,6.98,80100.0,20500.0
2026-01-27,,002843,泰嘉股份,20.19,-9.01,9634.36,-2475.58
2026-01-27,3日,002995,天地在线,27.61,10.0,36400.0,9360.16
2026-01-27,,003042,中农联合,23.1,10.0,19800.0,1686.55
2026-01-27,,300118,东方日升,22.93,1.82,175700.0,-39400.0
2026-01-27,3日,300139,晓程科技,58.83,11.21,167300.0,35300.0
2026-01-27,,300139,晓程科技,58.83,11.21,109000.0,18200.0
2026-01-27,,300164,通源石油,9.19,2.91,38900.0,-1781.84
2026-01-27,3日,300639,凯普生物,8.7,20.0,48300.0,3873.13
2026-01-27,,300639,凯普生物,8.7,20.0,35900.0,-5803.65
2026-01-27,,300689,澄天伟业,53.3,19.99,19400.0,8589.0
2026-01-27,3日,300806,斯迪克,50.04,20.0,195300.0,19400.0
2026-01-27,,300806,斯迪克,50.04,20.0,104400.0,15300.0
2026-01-27,3日,301207,华兰疫苗,26.05,11.61,55100.0,-4441.06
2026-01-27,,301396,宏景科技,98.1,20.0,70500.0,37100.0
2026-01-27,,301636,泽润新能,71.16,-0.93,20500.0,2645.07
2026-01-27,,600513,联环药业,19.51,-7.88,7700.28,-3501.44
2026-01-27,3日,600841,动力新科,9.3,7.89,89200.0,16500.0
2026-01-27,,601226,华电科工,11.4,7.34,32500.0,2200.24
2026-01-27,3日,601226,华电科工,11.4,7.34,59300.0,1785.54
2026-01-27,,601615,明阳智能,25.2,5.79,208700.0,16000.0
2026-01-27,3日,603132,金徽股份,20.16,9.98,44700.0,-3121.94
2026-01-27,,603163,圣晖集成,101.59,10.01,12900.0,443.52
2026-01-27,,603271,永杰新材,47.93,1.68,19000.0,-5780.81
2026-01-27,,603396,金辰股份,46.49,10.01,31100.0,5249.28
2026-01-27,3日,603578,三星新材,15.7,4.81,29800.0,13300.0
2026-01-27,,688699,明微电子,63.5,16.3,23600.0,8602.31
2026-01-27,,688702,盛科通信,162.53,20.0,66400.0,6913.13
2026-01-27,,688726,拉普拉斯,67.46,18.33,99000.0,1593.02
2026-01-27,,920021,流金科技,12.22,3.12,15300.0,-3075.22
2026-01-27,,920076,国亮新材,26.62,-6.89,5847.88,368.88
2026-01-27,,920368,连城数控,59.0,17.27,44300.0,12900.0
2026-01-27,,920414,欧普泰,19.24,7.85,6852.35,-9.41
2026-01-27,3日,920414,欧普泰,19.24,7.85,17800.0,-3210.11
2026-01-27,,920427,华维设计,16.48,2.04,3918.41,-125.51
2026-01-28,,000060,中金岭南,8.58,10.0,113700.0,-53600.0
2026-01-28,,000603,盛达资源,67.28,10.01,122400.0,-17500.0
